Abel,"Bibliskt namn, besläktat med ett assyriskt namn med bet. ’son’."
Abraham,"Bibliskt namn med bet. ’fader till många’."
Ada,"Hebreiskt namn med oviss bet.; även kortform av Adela."
Adam,"Bibliskt namn med bet. ’människa’."
Adela,"Forntyskt namn, kortform av namn på Adal- ’ädel’."
Adolf,"Tyskt namn, sammansatt av ord med bet. ’ädel’ och ’varg’."
Adrian,"Latinskt namn (Adria´nus) med bet. ’man från Adria’."
Adriana,"Latinsk femininform av Adrian."
Agata,"Grekiskt namn, bildat till agatho´s ’god’."
Agda,"Svensk form av Agata."
Agne,"Nordiskt namn, bildat till agh- ’spets’ eller till agi ’fruktan, oro’."
Agnes,"Grekiskt namn, bildat till (h)agno´s ’kysk’."
Agneta,"Latiniserad form av Agnes."
Aina,"Finskt namn med bet. ’den enda’."
Aino,"Finskt namn, samma namn som Aina."
Albert,"Tyskt namn, sammansatt av ord med bet. ’ädel’ och ’ljus, glänsande’."
Albertina,"Femininbildning till Albert."
Albin,"Latinskt namn (Albi´nus), bildat till a´lbus ’vit’."
Alexander,"Grekiskt namn (Ale´xandros), av ale´xein ’försvara’ och andr- ’man’."
Alexandra,"Femininbildning till Alexander."
Alexis,"Latinsk form av det grekiska namnet Ale´xeios ’försvarare’."
Alf,"Nordiskt namn, trol. samma namn som Adolf men även associerat med substantivet alf."
Alfhild,"Nordiskt namn, sammansatt av ord med bet. ’alf’ och ’strid’."
Alfons,"Spanskt namn, urspr. germanskt och sammansatt av ord med bet. ’ädel’ och ’ivrig’."
Alfred,"Engelskt namn, sammansatt av ord med bet. ’alf’ och ’råd, beslut’."
Alfrida,"Tysk sidoform till ett nordiskt namn (Alfrid), vars förled möjl. har bet. ’alf’."
Algot,"Nordiskt namn, sammansatt av ord med bet. ’alf’ och ’götisk man’."
Alice,"Engelskt namn av germanskt ursprung, eg. smekform av Adelheid (vars förled har bet. ’ädel’)."
Allan,"Engelskt namn av keltiskt ursprung och med oviss bet."
Alma,"Spanskt namn, möjl. av latinets a´lmus ’huld, mild’."
Alrik,"Nordiskt namn av ovisst ursprung, möjl. motsvarande det germanska Alarik ’allhärskare’."
Alva,"Femininbildning till Alf eller Alvar samt kortform av Alfhild m.fl."
Alvar,"Nordiskt namn, trol. sammansatt av ord med bet. ’alf’ och ’krigare’."
Amalia,"Latiniserad form av gotiska namn på Amal- ’verksam’."
Amanda,"Latinskt namn med bet. ’den älskvärda’."
Amelie,"Franskt namn (Amélie), sidoform till Amalia."
Anders,"Svensk form av Andreas."
André,"Fransk form av Andreas."
Andrea,"Femininform av Andreas."
Andreas,"Grekiskt namn, eg. smekform av namn på Andr- ’man, människa’."
Angela,"Italienskt namn, femininform av a´ngelo ’ängel’."
Angelika,"Latinskt namn (Ange´lica) med bet. ’den änglalika’."
Anita,"Spanskt namn, diminutiv av Anna."
Anna,"Hebreiskt namn, möjl. samma namn som Hanna."
Anneli,"Smeknamn för Anne Louise m.fl."
Annette,"Franskt namn, diminutiv av Anna."
Annika,"Tyskt namn, diminutiv av Anna."
Anselm,"Forntyskt namn, sammansatt av ord med bet. ’gud’ och ’hjälm’."
Ansgar,"Forntyskt namn, sammansatt av ord med bet. ’gud’ och ’spjut’."
Anton,"Tysk kortform av det latinska namnet Anto´nius (urspr. grekiskt och med bet. ’den oskattbare’)."
Antonia,"Latinskt namn, femininform av Anto´nius (se Anton)."
Arne,"Nordiskt namn, kortform av namn på Arn- ’örn’."
Arnold,"Tyskt namn, sammansatt av ord med bet. ’örn’ och ’härskare’."
Aron,"Hebreiskt namn med oviss bet."
Artur,"Engelskt namn av keltiskt ursprung (möjl. med latinsk bakgrund)."
Arvid,"Nordiskt namn, sammansatt av ord med bet. ’örn’ och ’skog, träd’."
Assar,"Nordiskt namn, urspr. med bet. ’han som ger svar’."
Asta,"Kortform av Astrid."
Astrid,"Nordiskt namn, sammansatt av as ’gud’ och frid ’skön’."
August,"Latinskt namn (Augu´stus) med bet. ’den vördnadsvärde’."
Augusta,"Latinskt namn, femininform av Augu´stus (se August)."
Aurora,"Latinskt namn med bet. ’morgonrodnad’."
Axel,"Nordisk ombildning av det bibliska namnet A´bsalon ’fadern är välgång’."
Axelina,"Femininbildning till Axel."
Baltsar,"Babyloniskt namn med bet. ’Gud må skydda hans liv’ (namn på en av de tre vise männen)."
Barbara,"Grekiskt namn med bet. ’främmande (icke-grekisk) kvinna’."
Barbro,"Svensk form av Barbara."
Bartolomeus,"Latinsk form av apostelnamnet Bar-Tolmai ’son till Ptolemaios’."
Beata,"Latinskt namn med bet. ’den lyckliga’."
Beatrice,"Franskt namn, urspr. italiensk form av det latinska namnet Bea´trix ’den lyckosamma’."
Beda,"Urspr. ett fornengelskt mansnamn med oviss bet."
Bengt,"Svensk form av det latinska namnet Benedi´ctus ’den välsignade’."
Benjamin,"Hebreiskt namn med bet. ’söderns son’."
Berit,"Nordiskt namn, dialektal form av Birgitta."
Bernhard,"Tyskt namn, sammansatt av ord med bet. ’björn’ och ’stark, hård’."
Bernt,"Urspr. en lågtysk form av Bernhard."
Bert,"Kortform av Albert, Berthold m.fl."
Berta,"Forntysk kortform av namn på Bert- ’ljus, strålande’."
Berthold,"Tyskt namn, sammansatt av ord med bet. ’ljus, strålande’ och ’härskare’."
Bertil,"Tyskt namn, diminutiv av bl.a. Berthold."
Birger,"Nordiskt namn med bet. ’hjälpare’."
Birgit,"Kortform av Birgitta."
Birgitta,"Nordisk ombildning av ett keltiskt namn med bet. ’den höga’."
Bjarne,"Norskt namn, sidoform till Björn."
Björn,"Nordiskt namn, samma ord som substantivet björn."
Blenda,"Svenskt (trol. fingerat) namn med oviss betydelse."
Bo,"Nordiskt namn med bet. ’den bofaste’."
Bodil,"Dansk form av det nordiska namnet Bothild (sammansatt av bot ’bättring’ och hild ’strid’)."
Boel,"Dansk form av det nordiska namnet Bothild (se Bodil)."
Borghild,"Nordiskt namn, sammansatt av borg ’beskydd’ och hild ’strid’."
Boris,"Ryskt namn, kortform av Borislav (sammansatt av ord med bet. ’strid’ och ’beröm’)."
Botvid,"Nordiskt namn, sammansatt av ord med bet. ’bättring’ och ’skog, träd’."
Britta,"Svenskt namn, sammandragning av Brigitta (äldre sidoform till Birgitta)."
Bror,"Nordiskt namn, samma ord som substantivet bror."
Bruno,"Urspr. forntysk kortform av namn på Brun- ’brun’ (eg. ’blank, glänsande’)."
Brynolf,"Nordiskt namn, sammansatt av brynja och ulv."
Börje,"Nordiskt namn, yngre form av Birger."
